Store_ID,Suburb,Street,Postcode,Lat,Lon,Type
502092,Eaglehawk  VIC,4-8 Peg Leg Road,3556,-36.717364,144.249994,Store
502080,Echuca  VIC,218 - 222 Anstruther Street,3564,-36.12567,144.75062,Store
502070,Maryborough  VIC,111 Burke Street,3465,-37.04723,143.74258,Store
502018,Altona Meadows VIC,1 Central Avenue,3028,-37.87261,144.77518,Store
502082,Keilor East  VIC,Milleara Rd & Buckley St,3033,-37.75089,144.86204,Store
502075,Albury NSW,617 - 621 Young Street,2640,-36.075862,146.924749,Store
502020,Altona Gate VIC,124 - 134 Millers Road,3025,-37.82763,144.8474,Store
502081,Portland  VIC,29 Henty Street,3305,-38.34664,141.60267,Store
502088,Geelong West  VIC,117 - 127 Albert Street,3218,-38.13966,144.33726,Store
502071,Caroline Springs  VIC,29 - 35 Lake Street,3023,-37.74501,144.73524,Store
502085,Grovedale  VIC,142 Torquay Road,3216,-38.19334,144.3431,Store
502079,Abbotsford  VIC,313 - 325 Victoria Street,3067,-37.8099,144.99546,Store
502002,Roxburgh Park VIC,250 Somerton Road,3064,-37.6225,144.93263,Store
502078,Wyndham Vale  VIC,209 Greens Road,3024,-37.887386,144.607358,Store
502076,Deer Park  VIC,Neale & Station Roads,3023,-37.7505,144.77444,Store
502086,Seymour  VIC,32 - 34Tallarook Street,3660,-37.0228,145.13275,Store
502083,South Melbourne VIC,100 Market Street,3205,-37.82982,144.95698,Store
502084,Mooroopna  VIC,97 - 101 McLennan Street,3629,-36.39538,145.35804,Store
502037,"Werribee, VIC",Cnr Derrimut & Heaths Roads,3030,-37.875203,144.679638,Store
502072,Epping  VIC,571 - 583 High Street,3076,-37.652,145.02308,Store
502087,Drysdale  VIC,12 - 22 Murradoc Road,3222,-38.17326,144.57303,Store
502007,Highton VIC,245 - 253 South Valley Road,3216,-38.19615,144.31837,Store
502089,Sanctuary Lakes VIC,300 Point Cook Rd,3030,-37.896951,144.753886,Store
502061,"Ocean Grove, VIC",12-22 Coastal Boulevard,3226,-38.248196,144.537621,Store
502040,Bell Park VIC,"Shop 9, 222 Anakie Road",3215,-38.096963,144.334438,Store
502006,Moonee Ponds VIC,14-16 Hall Street,3039,-37.76585,144.92335,Store
502010,Craigieburn VIC,340 Craigieburn Road,3064,-37.59461,144.91269,Store
502038,Epping VIC,Harvest Home & Edgars Roads,3076,-37.620594,145.005332,Store
502027,Wendouree VIC,21 Learmonth Road,3355,-37.535048,143.818108,Store
502096,Taylors Lakes VIC,399 Melton Highway,3038,-37.701491,144.775918,Store
502064,Armstrong Creek VIC,35-43 Central Boulevard,3217,-38.22971,144.37252,Store
502021,Altona North VIC,302 - 330 Millers Road,3025,-37.844695,144.844909,Store
502033,Warrnambool VIC,154 Raglan Parade,3280,-38.383238,142.520203,Store
502009,Melton West VIC,"533 High St, Woodgrove S/C",3337,-37.6851,144.56555,Store
502036,Leopold VIC,641-659 Bellarine Hwy,3224,-38.186244,144.454351,Store
502032,Lavington  NSW,385-387 Wagga Road,2641,-36.046864,146.939388,Store
502022,Wallan VIC,13-17 High Street,3756,-37.418182,144.977969,Store
502025,Epsom VIC,182-192 Midland Highway,3551,-36.704665,144.317432,Store
502074,Fitzroy VIC,247 Johnston Street,3065,-37.798736,144.983537,Store
502039,Campbellfield VIC,Cnr Sydney & Mahoneys Road,3061,-37.688103,144.958264,Store
502028,Kilmore VIC,97 Sydney Street,3764,-37.287837,144.948564,Store
502077,Gisborne VIC,45 Aitken Street,3437,-37.488404,144.591493,Store
502030,Wodonga  VIC,Victoria Cross Pde&Wark St,3689,-36.138071,146.894285,Store
502049,Gladstone Park VIC,8-34 Gladstone Park Drive,3043,-37.688035,144.884997,Store
502042,Tarneit VIC,540 Derrimut Rd,3029,-37.838413,144.69048,Store
502060,Coburg North VIC,1009-1011 Sydney Road,3058,-37.723507,144.963575,Store
502052,Torquay VIC,14 - 18  Winki Way,3228,-38.308854,144.318441,Store
502103,Broadmeadows VIC,1099-1169  Pascoe Vale Road,3047,-37.677377,144.919443,Store
503002,Salisbury QLD,271 Orange Grove Road,4107,-27.557528,153.04094,Store
503003,Labrador QLD,147 Central Street,4215,-27.946867,153.395463,Store
503004,Slacks Creek QLD,392 Kingston Road,4127,-27.644703,153.119927,Store
503015,Helensvale QLD,1-29 Millaroo Drive,4212,-27.92602,153.336612,Store
503007,Carindale QLD,1154 Creek Road,4152,-27.503303,153.101161,Store
503006,Oxley QLD,146 Blunder Rd,4075,-27.575949,152.982551,Store
503009,Victoria Point QLD,11-17 Bunker Road,4165,-27.585406,153.279616,Store
503010,Tweed Heads South NSW,9 - 11 Machinery Drive,2486,-28.202909,153.540797,Store
503013,Forest Lake QLD,"Shop M3, 235 Forest Lake Bo",4078,-27.625293,152.968189,Store
503032,Tingalpa QLD,Cnr Wynnum Rd & Bognor St,4173,-27.465627,153.142035,Store
503024,Loganholme QLD,Pacific Highway,4129,-27.660308,153.171484,Store
503020,Yamanto QLD,475-481 Warwick Road,4305,-27.658274,152.741634,Store
503023,Ballina NSW,2 North Creek Rd,2478,-28.849956,153.554187,Store
503012,Booval QLD,22 South Station Road,4304,-27.611139,152.789797,Store
503044,Beenleigh QLD,90 City Road,4207,-27.714695,153.202526,Store
503025,Mermaid Waters QLD,Cnr Markeri & Bermuda St,4218,-28.043479,153.408365,Store
503021,Grafton NSW,163-169 Prince Street,2460,-29.68629,152.936507,Store
503027,Southport QLD,Cnr Ferry Road & Benowa Rd,4215,-27.985428,153.410556,Store
503026,Coffs Harbour NSW,253 Pacific Hwy,2450,-30.28233,153.130373,Store
503018,Kearneys Spring QLD,Cnr Hume and Stenner Street,4350,-27.593736,151.951313,Store
503028,Nerang QLD,57 Station Street,4211,-27.997603,153.338238,Store
503033,Browns Plains QLD,Mt Lindesay HW & Brown Pl,4118,-27.662664,153.040703,Store
503045,Lismore NSW,44 Ballina Road,2480,-28.813611,153.279369,Store
503030,Capalaba QLD,35 - 37 Mt Cotton Rd,4157,-27.524324,153.188825,Store
503034,Springwood QLD,3434 Pacific Highway,4127,-27.62851,153.131874,Store
503057,Springfield Central QLD,1 Main Street,4300,-27.676031,152.903164,Store
503042,Warwick QLD,65-71 Fitzroy Street,4370,-28.213731,152.034739,Store
503053,Beaudesert QLD,155-161 Brisbane Street,4285,-27.983378,152.996441,Store
503054,Casino NSW,139 Centre Street,2470,-28.865557,153.045865,Store
503052,Sunnybank Hills QLD,Cnr Calam & Compton Rd,4109,-27.610177,153.05529,Store
503038,North Ipswich QLD,Cnr Pine St & The Terrace,4305,-27.609493,152.760803,Store
503063,Alexandra Hills QLD,157-169 Finucane Road,4161,-27.522837,153.21916,Store
503043,Marsden QLD,50-58 Bourke Street,4132,-27.680594,153.115914,Store
503046,Mudgeeraba QLD,3 Robert St,4213,-28.074436,153.362677,Store
503051,Gatton QLD,7 Ballantine Street,4343,-27.557184,152.280855,Store
503071,Upper Coomera QLD,Coomera Grand Drive,4209,-27.849699,153.29847,Store
503081,Toormina NSW,52 Minorie Drive,2452,-30.354715,153.090496,Store
503075,Bethania QLD,1 Fletcher Street,4205,-27.70225,153.158229,Store
