licencenumber,licencecode,licencetype,licenseeorg,liccount,lictotal,licensees,tradingnames,address,suburb,state,postcode,dateexpiry,dateissued
14005759,OFF,Liquor - Off,Company,1,1,COOMBS BREWING PTY LTD,Coombs Brewing,"Shop 4, 1 Fairhall Street",COOMBS,ACT,2611,2023-02-28T00:00:00.000,2022-07-25T00:00:00.000
14005247,OFF,Liquor - Off,Company,1,1,EXI HOLDINGS PTY LIMITED,Local Liquor Gungahlin,Unit 5/30 Ernest Cavanagh Street,GUNGAHLIN,ACT,2912,2023-02-28T00:00:00.000,2011-12-16T00:00:00.000
14005708,OFF,Liquor - Off,Individual,1,1,Leearni Junee HAMILTON,Honey and Cream,25 Duncan Street,TORRENS,ACT,2607,2023-02-28T00:00:00.000,2018-10-24T00:00:00.000
14005737,OFF,Liquor - Off,Company,1,1,LOCAL SPIRIT GROUP PTY LTD,Local Spirit Group Pty Ltd,"Unit 1 & 2, 7 Tantalum Street",BEARD,ACT,2620,2023-11-30T00:00:00.000,2020-11-06T00:00:00.000
14001609,OFF,Liquor - Off,Company,1,1,HL FOOD AND LIQUOR PTY LTD,HL Food and Liquor Pty Ltd,2 Castley Circuit,KAMBAH,ACT,2902,2023-02-28T00:00:00.000,2022-04-14T00:00:00.000
14005711,OFF,Liquor - Off,Company,1,1,MALTS AND BREWS PTY LTD,Malts and Brews Pty Ltd,Units 98 & 99 Parc Village 54 Bowman Street,MACQUARIE,ACT,2614,2023-02-28T00:00:00.000,2018-12-10T00:00:00.000
14005618,OFF,Liquor - Off,Company,1,1,JIM MURPHY'S AIRPORT CELLARS PTY LTD,Jim Murphy Express,"Tenancy 3 & 4, Majura Park Shopping Centre 18-26 Spitfire Avenue",MAJURA,ACT,2609,2023-02-28T00:00:00.000,2012-03-30T00:00:00.000
14005635,OFF,Liquor - Off,Company,1,1,EVERAIM AUSTRALIA PTY LTD,Bestore,Unit 3 109 Flemington Road,MITCHELL,ACT,2911,2023-02-28T00:00:00.000,2013-09-26T00:00:00.000
14004738,OFF,Liquor - Off,Company,1,1,CYPACE PTY LIMITED,Cypace Pty Limited,19 Mildura Street,FYSHWICK,ACT,2609,2023-02-28T00:00:00.000,1995-11-14T00:00:00.000
14000702,OFF,Liquor - Off,Company,1,1,C.C. JEFFERY PTY LIMITED,C.C. Jeffery Pty Limited,12 North Street,THARWA,ACT,2620,2023-02-28T00:00:00.000,1975-11-01T00:00:00.000
14003170,OFF,Liquor - Off,Company,1,1,CASTRI PTY LTD,Watson Take-Away,Shop 3 5 Watson Place,WATSON,ACT,2602,2023-02-28T00:00:00.000,2021-10-29T00:00:00.000
14000770,OFF,Liquor - Off,Partnership,1,1,John KRNC & Tony KRNC & Steven KRNC & Robert KRNC,John KRNC & Tony KRNC & Steven KRNC & Robert KRNC,1 Wattle Place,LYNEHAM,ACT,2602,2023-02-28T00:00:00.000,1975-11-01T00:00:00.000
14004594,OFF,Liquor - Off,Partnership,1,1,John STERGIOU & Harilaos STERGIOU,Waramanga Supermarket,Waramanga Place,WARAMANGA,ACT,2611,2023-02-28T00:00:00.000,1993-12-06T00:00:00.000
14005600,OFF,Liquor - Off,Company,1,1,WILCORP 1 (ACT) PTY LTD,Charnwood Grocery/Liquor Topshop,121 Tillyard Drive,CHARNWOOD,ACT,2615,2023-02-28T00:00:00.000,
14005710,OFF,Liquor - Off,Company,1,1,SUPERGROCER PTY LTD,Supergrocer,Shop T6 Canberra Outlet Centre 337 Canberra Avenue,FYSHWICK,ACT,2609,2023-02-28T00:00:00.000,2018-11-05T00:00:00.000
14005758,OFF,Liquor - Off,Individual,1,1,Leslie David Joel HENSHAW,Chroma Wines,1/35 Oakden Street,GREENWAY,ACT,2900,2023-11-30T00:00:00.000,2022-06-03T00:00:00.000
14002660,OFF,Liquor - Off,Company,1,1,JIM MURPHY MARKET CELLARS PTY LTD,Jim Murphy Market Cellars Pty Ltd,19 Mildura Street,FYSHWICK,ACT,2609,2023-02-28T00:00:00.000,1980-12-04T00:00:00.000
14005740,OFF,Liquor - Off,Individual,1,1,Chester Tuck MOK,Wine Chest,110B McMichael Terrace,DENMAN PROSPECT,ACT,2611,2023-02-28T00:00:00.000,2021-01-19T00:00:00.000
14002097,OFF,Liquor - Off,Company,1,1,CAVO PTY LTD,Supabarn Express Kaleen,8 Gwydir Square,KALEEN,ACT,2617,2023-02-28T00:00:00.000,1977-10-27T00:00:00.000
14003217,OFF,Liquor - Off,Company,1,1,IBAMAC PTY LTD,Supabarn Express Red Hill,12 Duyfken Place,RED HILL,ACT,2603,2023-02-28T00:00:00.000,2017-07-14T00:00:00.000
14005747,OFF,Liquor - Off,Company,1,1,FRENCH FLAIR PTY LTD,French Flair,Shop 12 The M Centre 17 to 19 Flinders Way,GRIFFITH,ACT,2603,2023-02-28T00:00:00.000,2021-10-25T00:00:00.000
14005528,OFF,Liquor - Off,Company,1,1,WILCORP 1 (ACT) PTY LTD,Hawker Drive In Bottle Shop,Corner Belconnen Way & Springvale Drive,HAWKER,ACT,2614,2023-02-28T00:00:00.000,
14004640,OFF,Liquor - Off,Company,1,1,PALMERSTON SUPERMARKET PTY LTD,Palmerston Supermarket Pty Ltd,"Shop 1, Palmerston Local Shopping Centre Cnr Kosciuszko Avenue & Tiptree Crescent",PALMERSTON,ACT,2913,2023-02-28T00:00:00.000,
14005706,OFF,Liquor - Off,Company,1,1,WODEN LIQUOR STOP PTY LTD,Woden Liquor Stop Pty Ltd,"Unit 4, 101 Hindmarsh Drive",PHILLIP,ACT,2606,2023-02-28T00:00:00.000,2018-10-17T00:00:00.000
14005649,OFF,Liquor - Off,Company,1,1,SUPA 24 CONVENIENCE PTY LTD,Supa 24 Convenience Pty Ltd,Bus Interchange 2 Mort Street,CANBERRA,ACT,2600,2023-11-30T00:00:00.000,
14005679,OFF,Liquor - Off,Company,1,1,HOPS AND VINE HALL PTY LTD,Hops and Vine Hall Pty Ltd,6A Victoria Street,HALL,ACT,2618,2023-05-31T00:00:00.000,2016-11-25T00:00:00.000
14005687,OFF,Liquor - Off,Company,1,1,NICK SPENCER WINES PTY LTD,Nick Spencer Wines Pty Ltd,"Unit 2177, Fyshwick Self Storage 64-68 Collie Street",FYSHWICK,ACT,2609,2023-02-28T00:00:00.000,2017-03-21T00:00:00.000
14004754,OFF,Liquor - Off,Company,1,1,CODE RED INVESTMENTS PTY LIMITED,Chifley Supermarket,Chifley Shopping Centre 20-22 Chifley Place,CHIFLEY,ACT,2606,2023-02-28T00:00:00.000,
14005595,OFF,Liquor - Off,Company,1,1,SIXES & NINES PTY LTD,Hume Mini Mart & Liquor,Unit 3 49 Sheppard Street,HUME,ACT,2620,2023-02-28T00:00:00.000,
14005699,OFF,Liquor - Off,Company,1,1,RICHGHAIE PTY LTD,Blackhearts & Sparrows Canberra,Unit C15 27 Lonsdale Street,BRADDON,ACT,2612,2023-02-28T00:00:00.000,2018-04-09T00:00:00.000
14005757,OFF,Liquor - Off,Company,1,1,ADISAR SAHIB PTY LTD,All In One Super Mart,"Shop 3, 53 Alinga Street",CITY,ACT,2601,2023-02-28T00:00:00.000,2022-03-29T00:00:00.000
